Date,User_ID,Session_Duration,Page_Views,Source,Medium,Campaign,Device_Category,Country,New_User,Conversions,Revenue
6/6/2023,1,448,7,Referral,Direct,Spring Promo,Tablet,USA,1,2,124
6/19/2023,2,94,1,Referral,Social Media,Summer Sale,Desktop,India,1,1,130
6/29/2023,3,595,6,Direct,Referral,Winter Campaign,Tablet,India,1,1,136
6/1/2023,4,263,9,Social,Organic Search,,Tablet,Australia,1,0,0
6/30/2023,5,242,1,Referral,Referral,Spring Promo,Tablet,USA,0,0,0
6/30/2023,6,421,6,Organic,Direct,Summer Sale,Desktop,Germany,1,3,318
6/21/2023,7,359,6,Referral,Direct,Summer Sale,Desktop,Canada,0,1,67
6/20/2023,8,448,9,Organic,Direct,,Desktop,Germany,1,3,315
6/7/2023,9,185,8,Referral,Referral,Winter Campaign,Desktop,Canada,1,1,59
6/8/2023,10,379,3,Direct,Social Media,Winter Campaign,Mobile,India,1,3,339
6/16/2023,11,218,10,Direct,Organic Search,,Desktop,USA,0,3,360
6/25/2023,12,569,4,Organic,Referral,Winter Campaign,Tablet,Germany,0,0,0
6/10/2023,13,561,5,Social,Referral,Summer Sale,Mobile,France,1,1,59
6/5/2023,14,362,1,Referral,Organic Search,Summer Sale,Tablet,Canada,0,0,0
6/11/2023,15,197,10,Referral,Direct,,Tablet,Australia,0,0,0
6/26/2023,16,152,7,Referral,Referral,,Desktop,India,1,1,145
6/1/2023,17,419,2,Social,Organic Search,Winter Campaign,Desktop,France,1,1,81
6/17/2023,18,491,6,Social,Organic Search,Summer Sale,Desktop,Canada,0,0,0
6/2/2023,19,328,9,Direct,Direct,Spring Promo,Tablet,Australia,0,0,0
6/8/2023,20,83,9,Organic,Social Media,Winter Campaign,Desktop,Australia,0,0,0
6/25/2023,21,161,7,Referral,Referral,Summer Sale,Tablet,UK,1,0,0
6/17/2023,22,298,4,Social,Referral,Winter Campaign,Mobile,India,0,3,411
6/19/2023,23,457,1,Social,Organic Search,Winter Campaign,Desktop,Germany,1,3,339
6/26/2023,24,305,10,Social,Direct,Summer Sale,Tablet,Germany,1,1,88
6/11/2023,25,284,10,Direct,Direct,Winter Campaign,Mobile,Australia,1,1,64
6/14/2023,26,364,4,Organic,Referral,Spring Promo,Desktop,USA,1,2,208
6/7/2023,27,508,3,Direct,Social Media,Summer Sale,Mobile,UK,1,2,170
6/9/2023,28,331,3,Direct,Organic Search,,Desktop,Australia,1,0,0
6/1/2023,29,569,10,Organic,Organic Search,Summer Sale,Tablet,Germany,0,2,280
